image,label,label_id
dataset/images/hispa/102635.jpg,hispa,7
dataset/images/dead_heart/108781.jpg,dead_heart,5
dataset/images/blast/102853.jpg,blast,3
dataset/images/tungro/108835.jpg,tungro,9
dataset/images/bacterial_leaf_blight/103839.jpg,bacterial_leaf_blight,0
dataset/images/hispa/106264.jpg,hispa,7
dataset/images/normal/107267.jpg,normal,8
dataset/images/normal/110313.jpg,normal,8
dataset/images/hispa/107292.jpg,hispa,7
dataset/images/dead_heart/106937.jpg,dead_heart,5
dataset/images/normal/102486.jpg,normal,8
dataset/images/bacterial_panicle_blight/102463.jpg,bacterial_panicle_blight,2
dataset/images/normal/102975.jpg,normal,8
dataset/images/blast/109773.jpg,blast,3
dataset/images/blast/107094.jpg,blast,3
dataset/images/hispa/100491.jpg,hispa,7
dataset/images/bacterial_leaf_blight/104942.jpg,bacterial_leaf_blight,0
dataset/images/normal/103960.jpg,normal,8
dataset/images/normal/102440.jpg,normal,8
dataset/images/blast/102557.jpg,blast,3
dataset/images/bacterial_leaf_blight/106395.jpg,bacterial_leaf_blight,0
dataset/images/tungro/105992.jpg,tungro,9
dataset/images/normal/103101.jpg,normal,8
dataset/images/blast/103525.jpg,blast,3
dataset/images/brown_spot/109284.jpg,brown_spot,4
dataset/images/downy_mildew/103467.jpg,downy_mildew,6
dataset/images/normal/105807.jpg,normal,8
dataset/images/downy_mildew/103542.jpg,downy_mildew,6
dataset/images/downy_mildew/103850.jpg,downy_mildew,6
dataset/images/dead_heart/107991.jpg,dead_heart,5
dataset/images/bacterial_leaf_blight/105046.jpg,bacterial_leaf_blight,0
dataset/images/dead_heart/103873.jpg,dead_heart,5
dataset/images/dead_heart/110285.jpg,dead_heart,5
dataset/images/hispa/108105.jpg,hispa,7
dataset/images/dead_heart/109606.jpg,dead_heart,5
dataset/images/hispa/101476.jpg,hispa,7
dataset/images/tungro/109555.jpg,tungro,9
dataset/images/tungro/103106.jpg,tungro,9
dataset/images/brown_spot/105480.jpg,brown_spot,4
dataset/images/hispa/101120.jpg,hispa,7
dataset/images/blast/101747.jpg,blast,3
dataset/images/tungro/109128.jpg,tungro,9
dataset/images/bacterial_leaf_streak/106455.jpg,bacterial_leaf_streak,1
dataset/images/brown_spot/110068.jpg,brown_spot,4
dataset/images/tungro/103252.jpg,tungro,9
dataset/images/tungro/104296.jpg,tungro,9
dataset/images/hispa/106739.jpg,hispa,7
dataset/images/brown_spot/102067.jpg,brown_spot,4
dataset/images/tungro/104970.jpg,tungro,9
dataset/images/hispa/106017.jpg,hispa,7
dataset/images/normal/108919.jpg,normal,8
dataset/images/bacterial_leaf_streak/107925.jpg,bacterial_leaf_streak,1
dataset/images/normal/103109.jpg,normal,8
dataset/images/blast/101497.jpg,blast,3
dataset/images/blast/104870.jpg,blast,3
dataset/images/blast/109477.jpg,blast,3
dataset/images/bacterial_leaf_streak/100284.jpg,bacterial_leaf_streak,1
dataset/images/normal/107675.jpg,normal,8
dataset/images/blast/103996.jpg,blast,3
dataset/images/brown_spot/102494.jpg,brown_spot,4
dataset/images/downy_mildew/101260.jpg,downy_mildew,6
dataset/images/normal/105782.jpg,normal,8
dataset/images/tungro/109573.jpg,tungro,9
dataset/images/brown_spot/103569.jpg,brown_spot,4
dataset/images/hispa/100825.jpg,hispa,7
dataset/images/dead_heart/103057.jpg,dead_heart,5
dataset/images/brown_spot/104566.jpg,brown_spot,4
dataset/images/normal/109063.jpg,normal,8
dataset/images/tungro/105973.jpg,tungro,9
dataset/images/hispa/106835.jpg,hispa,7
dataset/images/bacterial_panicle_blight/107599.jpg,bacterial_panicle_blight,2
dataset/images/bacterial_leaf_blight/106510.jpg,bacterial_leaf_blight,0
dataset/images/blast/101416.jpg,blast,3
dataset/images/normal/108479.jpg,normal,8
dataset/images/blast/108066.jpg,blast,3
dataset/images/blast/100873.jpg,blast,3
dataset/images/blast/103317.jpg,blast,3
dataset/images/brown_spot/108365.jpg,brown_spot,4
dataset/images/blast/107645.jpg,blast,3
dataset/images/hispa/101882.jpg,hispa,7
dataset/images/hispa/108374.jpg,hispa,7
dataset/images/normal/107593.jpg,normal,8
dataset/images/dead_heart/103503.jpg,dead_heart,5
dataset/images/tungro/107034.jpg,tungro,9
dataset/images/dead_heart/101737.jpg,dead_heart,5
dataset/images/blast/101791.jpg,blast,3
dataset/images/tungro/100374.jpg,tungro,9
dataset/images/bacterial_panicle_blight/103725.jpg,bacterial_panicle_blight,2
dataset/images/normal/105114.jpg,normal,8
dataset/images/brown_spot/103683.jpg,brown_spot,4
dataset/images/dead_heart/101725.jpg,dead_heart,5
dataset/images/normal/101690.jpg,normal,8
dataset/images/bacterial_leaf_blight/105059.jpg,bacterial_leaf_blight,0
dataset/images/normal/107159.jpg,normal,8
dataset/images/blast/100856.jpg,blast,3
dataset/images/blast/107282.jpg,blast,3
dataset/images/bacterial_leaf_streak/108342.jpg,bacterial_leaf_streak,1
dataset/images/hispa/100125.jpg,hispa,7
dataset/images/dead_heart/103684.jpg,dead_heart,5
